,m.ss.yi,m.ss.ch.nm,m.ta,m.th,m.res.1x2,m.res.bts,m.odds.f.1x2.f.v.med,m.odds.f.1x2.m.v.med,m.odds.f.1x2.u.v.med,m.odds.f.1x2.f.c,m.odds.f.1x2.m.c,m.odds.f.1x2.u.c,m.odds.f.bts.f.v.med,m.odds.f.bts.u.v.med,m.odds.f.bts.f.c,m.odds.f.bts.u.c,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med,m.odds.s.bts.y.t.med,m.odds.s.bts.n.t.med
34981,2016,France A,Lyon,Lorient,h,n,2.0,3.4,3.75,a,d,h,1.65,2.125,y,n,0.2478,0.2782,0.4735,0.5614,0.4386
34982,2016,France A,Angers,Monaco,h,y,1.73,3.52,5.2,h,d,a,1.77,1.96,n,y,0.545,0.2684,0.1833,0.473,0.527
34983,2016,France A,Metz,Montpellier,a,n,1.62,3.85,5.65,h,d,a,1.85,1.89,y,n,0.5875,0.2449,0.1685,0.5052,0.4948
34984,2016,France A,Paris SG,Toulouse,h,n,1.455,4.33,7.0,a,d,h,1.83,1.91,n,y,0.1321,0.2189,0.6476,0.4852,0.5148
34985,2016,France A,Caen,Angers,h,y,2.2,3.15,3.55,h,d,a,1.75,2.0,n,y,0.4279,0.3026,0.2686,0.4672,0.5328
34986,2016,France A,Nancy,Bastia,d,n,2.265,3.0,3.6,h,d,a,1.62,2.2,n,y,0.4169,0.3159,0.2637,0.4241,0.5759
34987,2016,France A,Lorient,Guingamp,h,n,1.95,3.4,4.0,h,d,a,1.765,1.95,y,n,0.4863,0.2803,0.233,0.5249,0.4751
34988,2016,France A,Montpellier,Lyon,h,y,1.675,3.75,5.1,h,d,a,1.725,2.015,y,n,0.5612,0.2529,0.18600000000000003,0.5387,0.4613
34989,2016,France A,Bordeaux,Metz,a,n,2.34,3.115,3.265,a,h,d,1.73,2.035,y,n,0.3047,0.2896,0.4052,0.5374,0.4626
34990,2016,France A,St Etienne,Nantes,d,n,2.605,2.9,2.97,h,d,a,1.65,2.105,n,y,0.3559,0.3242,0.3196,0.4396,0.5604
34991,2016,France A,Monaco,Nice,h,n,2.25,3.25,3.35,a,d,h,1.77,1.95,y,n,0.2844,0.2917,0.4264,0.5262,0.4738
34992,2016,France A,Marseille,Rennes,h,y,2.3,3.2,3.25,h,d,a,1.8,1.95,y,n,0.414,0.2943,0.293,0.5241,0.4759
34993,2016,France A,Toulouse,Lille,a,y,2.2,3.05,3.625,h,d,a,1.65,2.15,n,y,0.4266,0.3117,0.2588,0.4297,0.5703
34994,2016,France A,Dijon,Paris SG,h,n,1.11,9.5,23.0,h,d,a,1.675,2.115,n,y,0.858,0.0978,0.0411,0.4408,0.5592
34995,2016,France A,Lyon,Marseille,d,n,2.55,2.8,3.25,h,a,d,1.655,2.105,y,n,0.3704,0.2922,0.3354,0.56,0.44
34996,2016,France A,Nice,Montpellier,d,y,2.15,3.3,3.4,h,d,a,1.755,1.95,y,n,0.4379,0.2853,0.2769,0.527,0.473
34997,2016,France A,Bastia,St Etienne,h,n,1.73,3.4,5.6,h,d,a,1.62,2.2,n,y,0.5517,0.2801,0.1694,0.4226,0.5774
34998,2016,France A,Angers,Bordeaux,a,n,1.8,3.4,4.95,h,d,a,1.67,2.1,n,y,0.5293,0.2775,0.1906,0.4459,0.5541
34999,2016,France A,Metz,Dijon,d,n,1.95,3.48,4.0,h,d,a,1.8,1.91,y,n,0.4876,0.2742,0.2402,0.5135,0.4865
35000,2016,France A,Lille,Lorient,h,n,2.24,3.15,3.4,a,d,h,1.8,1.95,n,y,0.2772,0.2991,0.4258,0.48,0.52
35001,2016,France A,Rennes,Monaco,h,n,1.75,3.55,4.7,h,d,a,1.83,1.93,n,y,0.5348,0.2648,0.2016,0.4841,0.5159
35002,2016,France A,Nantes,Nancy,d,y,2.29,2.95,3.6,h,d,a,1.62,2.2,n,y,0.4157,0.3216,0.2608,0.4252,0.5748
35003,2016,France A,Guingamp,Toulouse,h,y,2.1,3.25,3.75,h,d,a,1.83,1.9,n,y,0.452,0.2929,0.2541,0.4893,0.5107
35004,2016,France A,Paris SG,Caen,a,n,1.4,4.75,7.5,a,d,h,1.8,1.91,y,n,0.126,0.2004,0.675,0.5135,0.4865
35005,2016,France A,Metz,Nantes,a,n,1.71,3.4,5.5,h,d,a,1.63,2.2,n,y,0.5535,0.2747,0.17,0.4227,0.5773
35006,2016,France A,Marseille,Nice,h,y,2.2,3.25,3.4,h,d,a,1.76,1.95,y,n,0.4318,0.2927,0.2748,0.5267,0.4733
35007,2016,France A,Caen,Rennes,h,n,2.05,3.35,3.8,h,d,a,1.855,1.845,y,n,0.4615,0.2846,0.2515,0.4987,0.5013
35008,2016,France A,Dijon,Angers,h,y,2.25,3.0,3.6,h,d,a,1.65,2.1,n,y,0.4215,0.3145,0.2632,0.44,0.56
35009,2016,France A,Toulouse,Bastia,h,y,2.75,2.85,2.9,a,h,d,1.62,2.2,n,y,0.3312,0.3273,0.3412,0.4241,0.5759
35010,2016,France A,Montpellier,Guingamp,d,y,2.38,3.1,3.2,h,d,a,1.81,1.91,n,y,0.4012,0.3041,0.2961,0.4905,0.5095
35011,2016,France A,Monaco,Lille,a,y,2.4,3.0,3.2,h,d,a,1.72,2.03,n,y,0.3922,0.3137,0.2941,0.4595,0.5405
35012,2016,France A,Nancy,Lorient,a,n,2.4,3.1,3.14,h,d,a,1.75,1.95,y,n,0.3924,0.3042,0.3056,0.527,0.473
35013,2016,France A,Bordeaux,Lyon,a,y,1.6,4.04,5.5,h,d,a,1.7,2.05,y,n,0.5922,0.2326,0.175,0.5467,0.4533
35014,2016,France A,St Etienne,Paris SG,d,y,1.355,5.0,9.0,h,d,a,1.795,1.95,n,y,0.7042,0.1907,0.1056,0.4797,0.5203
35015,2016,France A,Nantes,Bordeaux,h,n,2.1,3.08,3.9,h,d,a,1.67,2.1,n,y,0.4477,0.3079,0.2431,0.44299999999999995,0.557
35016,2016,France A,Paris SG,Monaco,h,y,1.82,3.7,4.5,a,d,h,1.74,2.0,y,n,0.2136,0.2615,0.5249,0.5335,0.4665
35017,2016,France A,Toulouse,St Etienne,d,n,2.15,3.1,3.75,h,d,a,1.79,1.95,n,y,0.4402,0.3046,0.2529,0.474,0.526
35018,2016,France A,Bastia,Caen,h,n,2.2,3.1,3.6,h,d,a,1.75,2.0,n,y,0.4309,0.3059,0.2633,0.4665,0.5335
35019,2016,France A,Lyon,Dijon,h,y,1.74,3.61,4.99,a,d,h,1.84,1.91,y,n,0.1932,0.2616,0.5439,0.5108,0.4892
35020,2016,France A,Angers,Metz,h,n,2.55,3.0,3.0,h,a,d,1.75,2.0,n,y,0.3679,0.3152,0.318,0.4667,0.5333
35021,2016,France A,Rennes,Montpellier,d,y,2.1,3.2,3.8,h,d,a,1.75,2.0,n,y,0.4526,0.2981,0.2477,0.4667,0.5333
35022,2016,France A,Guingamp,Nancy,a,n,2.0,3.25,3.95,h,d,a,1.77,1.95,n,y,0.4699,0.2922,0.2404,0.473,0.527
35023,2016,France A,Lille,Nice,d,y,2.6,2.9,3.0,h,d,a,1.63,2.16,n,y,0.365,0.3272,0.3097,0.4297,0.5703
35024,2016,France A,Lorient,Marseille,h,n,1.8,3.6,4.55,h,d,a,1.7,2.075,y,n,0.5287,0.2645,0.2099,0.5477,0.4523
35025,2016,France A,Marseille,Guingamp,h,y,2.65,2.85,3.1,a,h,d,1.83,1.91,n,y,0.3355,0.3076,0.3574,0.4879,0.5121
35026,2016,France A,Metz,Paris SG,h,n,1.11,9.5,22.0,h,d,a,1.61,2.2,n,y,0.8576,0.1003,0.0429,0.4197,0.5803
35027,2016,France A,Montpellier,St Etienne,h,y,2.34,3.0,3.5,h,d,a,1.65,2.14,n,y,0.4092,0.3178,0.272,0.4376,0.5624
35028,2016,France A,Nice,Angers,a,n,2.58,2.85,3.1,h,d,a,1.56,2.3,n,y,0.3653,0.3332,0.3015,0.4026,0.5974
35029,2016,France A,Dijon,Lille,h,n,1.74,3.3,5.4,h,d,a,1.6,2.24,n,y,0.5441,0.2859,0.1706,0.4156,0.5844
35030,2016,France A,Bastia,Lorient,a,n,2.15,3.1,3.75,h,d,a,1.67,2.1,n,y,0.4422,0.306,0.2498,0.44299999999999995,0.557
35031,2016,France A,Monaco,Nantes,a,n,2.4,3.0,3.3,h,d,a,1.65,2.125,n,y,0.3923,0.3166,0.2878,0.4382,0.5618
35032,2016,France A,Nancy,Rennes,h,n,2.05,3.2,3.9,h,d,a,1.74,2.0,n,y,0.4632,0.2971,0.242,0.4665,0.5335
35033,2016,France A,Bordeaux,Toulouse,h,y,2.55,2.9,3.1,h,a,d,1.8,1.91,n,y,0.3701,0.3066,0.3246,0.4893,0.5107
35034,2016,France A,Caen,Lyon,h,n,1.37,4.945,8.375,h,d,a,1.76,1.95,y,n,0.693,0.19399999999999998,0.1148,0.527,0.473
35035,2016,France A,Toulouse,Marseille,d,n,2.05,3.25,3.95,h,d,a,1.8,1.91,n,y,0.4627,0.2945,0.2426,0.4852,0.5148
35036,2016,France A,Lyon,Nancy,a,n,2.4,3.1,3.2,a,h,d,1.8,1.92,y,n,0.3067,0.2948,0.4026,0.5152,0.4848
35037,2016,France A,Rennes,Nice,h,n,2.4,3.1,3.2,h,d,a,1.78,1.95,n,y,0.3962,0.3061,0.2946,0.4778,0.5222
35038,2016,France A,St Etienne,Bordeaux,h,y,2.35,3.0,3.35,h,d,a,1.725,2.04,n,y,0.4041,0.3129,0.2793,0.4593,0.5407
35039,2016,France A,Lorient,Caen,h,y,2.25,3.19,3.35,h,d,a,1.86,1.86,y,n,0.4191,0.2968,0.2825,0.5,0.5
35040,2016,France A,Nantes,Dijon,a,n,2.5,3.0,3.15,h,d,a,1.67,2.1,n,y,0.3797,0.3202,0.3005,0.44299999999999995,0.557
35041,2016,France A,Lille,Metz,h,y,2.2,3.05,3.7,a,d,h,1.65,2.15,n,y,0.2593,0.3104,0.4285,0.4342,0.5658
35042,2016,France A,Angers,Montpellier,h,n,1.87,3.2,4.8,h,d,a,1.59,2.25,n,y,0.5072,0.2944,0.1963,0.4121,0.5879
35043,2016,France A,Paris SG,Bastia,a,n,1.33,5.0,10.5,a,d,h,1.59,2.24,n,y,0.0901,0.1918,0.7163,0.4151,0.5849
35044,2016,France A,Guingamp,Monaco,d,y,1.67,3.7,5.5,h,d,a,1.76,1.95,n,y,0.5658,0.2568,0.1742,0.473,0.527
35045,2017,Portugal A,Tondela,Rio Ave,d,y,1.74,3.55,4.75,h,d,a,1.8,1.92,y,n,0.539,0.2623,0.1992,0.5155,0.4845
35046,2017,Portugal A,Sporting,Belenenses,a,y,1.5,3.95,6.5,a,d,h,1.77,1.965,n,y,0.1463,0.235,0.6204,0.473,0.527
