,m.ss.yi,m.ss.ch.nm,m.ta,m.th,m.res.1x2,m.res.bts,m.odds.f.1x2.f.v.med,m.odds.f.1x2.m.v.med,m.odds.f.1x2.u.v.med,m.odds.f.1x2.f.c,m.odds.f.1x2.m.c,m.odds.f.1x2.u.c,m.odds.f.bts.f.v.med,m.odds.f.bts.u.v.med,m.odds.f.bts.f.c,m.odds.f.bts.u.c,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med,m.odds.s.bts.y.t.med,m.odds.s.bts.n.t.med
0,2007,Brazil B,Ituano,Avai,h,n,,,,,,,,,,,,,,,
1,2007,Brazil B,Santo Andre,Ceara,a,y,,,,,,,,,,,,,,,
2,2007,Brazil B,Barueri,CRB,h,y,,,,,,,,,,,,,,,
3,2007,Brazil B,Bahia,Gama,h,n,,,,,,,,,,,,,,,
4,2007,Brazil B,Fortaleza,Marilia,a,y,,,,,,,,,,,,,,,
5,2007,Brazil B,Betim,Paulista,a,y,,,,,,,,,,,,,,,
6,2007,Brazil B,Criciuma,Portuguesa,h,y,,,,,,,,,,,,,,,
7,2007,Brazil B,Ponte Preta,Remo,a,n,,,,,,,,,,,,,,,
8,2007,Brazil B,Coritiba,Santa Cruz,a,y,,,,,,,,,,,,,,,
9,2007,Brazil B,Brasiliense,Sao Caetano,h,n,,,,,,,,,,,,,,,
10,2007,Brazil B,Remo,Bahia,d,y,,,,,,,,,,,,,,,
11,2007,Brazil B,Gama,Barueri,a,n,,,,,,,,,,,,,,,
12,2007,Brazil B,Sao Caetano,Betim,h,n,,,,,,,,,,,,,,,
13,2007,Brazil B,Portuguesa,Brasiliense,d,y,,,,,,,,,,,,,,,
14,2007,Brazil B,Santa Cruz,Criciuma,h,n,,,,,,,,,,,,,,,
15,2007,Brazil B,Paulista,Fortaleza,h,y,,,,,,,,,,,,,,,
16,2007,Brazil B,CRB,Ituano,a,n,,,,,,,,,,,,,,,
17,2007,Brazil B,Ceara,Ponte Preta,d,y,,,,,,,,,,,,,,,
18,2007,Brazil B,Marilia,Coritiba,a,y,,,,,,,,,,,,,,,
19,2007,Brazil B,Avai,Santo Andre,h,n,,,,,,,,,,,,,,,
20,2007,Brazil B,CRB,Bahia,h,y,,,,,,,,,,,,,,,
21,2007,Brazil B,Ceara,Barueri,h,y,,,,,,,,,,,,,,,
22,2007,Brazil B,Marilia,Betim,h,y,,,,,,,,,,,,,,,
23,2007,Brazil B,Santa Cruz,Brasiliense,h,n,,,,,,,,,,,,,,,
24,2007,Brazil B,Portuguesa,Coritiba,h,n,,,,,,,,,,,,,,,
25,2007,Brazil B,Paulista,Criciuma,a,y,,,,,,,,,,,,,,,
26,2007,Brazil B,Sao Caetano,Fortaleza,a,n,,,,,,,,,,,,,,,
27,2007,Brazil B,Remo,Ituano,h,y,,,,,,,,,,,,,,,
28,2007,Brazil B,Avai,Ponte Preta,d,n,,,,,,,,,,,,,,,
29,2007,Brazil B,Gama,Santo Andre,h,n,,,,,,,,,,,,,,,
30,2007,Brazil B,Coritiba,Avai,h,n,,,,,,,,,,,,,,,
31,2007,Brazil B,Brasiliense,Ceara,a,y,,,,,,,,,,,,,,,
32,2007,Brazil B,Betim,Gama,a,n,,,,,,,,,,,,,,,
33,2015,Brazil B,Atletico GO,Bahia,h,n,2.17,3.0,3.3,h,a,d,1.665,2.08,y,n,0.4179,0.27699999999999997,0.3029,0.5563,0.4437
34,2015,Brazil B,America MG,Botafogo RJ,d,n,1.85,3.5,3.9,h,d,a,1.66,2.05,y,n,0.5046,0.2615,0.2355,0.5576,0.4424
35,2007,Brazil B,Bahia,Paulista,h,n,,,,,,,,,,,,,,,
36,2015,Brazil B,Nautico,Bragantino,a,n,1.85,3.4,3.8,h,d,a,1.65,2.1,y,n,0.4965,0.2662,0.2378,0.56,0.44
37,2007,Brazil B,Fortaleza,Remo,h,y,,,,,,,,,,,,,,,
38,2015,Brazil B,Macae,Ceara,h,n,1.45,4.025,6.275,h,d,a,1.83,1.87,y,n,0.6296,0.2243,0.1463,0.5082,0.4918
39,2007,Brazil B,Ituano,Sao Caetano,d,y,,,,,,,,,,,,,,,
40,2015,Brazil B,Mogi Mirim,Luverdense,h,n,1.35,4.5,8.0,h,d,a,1.79,1.9,n,y,0.68,0.2007,0.1179,0.4852,0.5148
41,2007,Brazil B,Barueri,Portuguesa,h,y,,,,,,,,,,,,,,,
42,2015,Brazil B,Paysandu PA,Oeste,d,n,1.72,3.45,4.5,h,d,a,1.8,1.94,n,y,0.527,0.2637,0.2027,0.48,0.52
43,2007,Brazil B,Ponte Preta,Santa Cruz,d,y,,,,,,,,,,,,,,,
44,2015,Brazil B,Parana,Sampaio Correa,d,y,1.73,3.43,4.5,h,d,a,1.8,1.92,y,n,0.5283,0.2649,0.2074,0.52,0.48
45,2007,Brazil B,Criciuma,CRB,h,n,,,,,,,,,,,,,,,
46,2015,Brazil B,Vitoria,Santa Cruz,h,y,1.53,3.9,5.5,h,d,a,1.8,1.9,y,n,0.5988,0.2351,0.1668,0.5135,0.4865
47,2007,Brazil B,Santo Andre,Marilia,h,y,,,,,,,,,,,,,,,
48,2007,Brazil B,Ituano,Brasiliense,h,y,,,,,,,,,,,,,,,
49,2007,Brazil B,Bahia,Coritiba,d,y,,,,,,,,,,,,,,,
50,2007,Brazil B,Santo Andre,Criciuma,a,n,,,,,,,,,,,,,,,
51,2006,Brazil A,Juventude,Corinthians,h,y,1.62,3.5,4.7,h,d,a,,,,,0.5491,0.2565,0.1912,,
52,2015,Brazil B,CRB,Criciuma,h,y,1.95,3.4,3.6,h,d,a,1.8,1.9,y,n,0.4687,0.2724,0.2561,0.5135,0.4865
53,2007,Brazil B,Barueri,Fortaleza,h,n,,,,,,,,,,,,,,,
54,2007,Brazil B,Remo,Marilia,h,y,,,,,,,,,,,,,,,
55,2006,Brazil A,Botafogo RJ,Cruzeiro,h,y,1.6,3.4,5.0,h,d,a,,,,,0.5547,0.2632,0.1809,,
56,2007,Brazil B,Ceara,Paulista,d,n,,,,,,,,,,,,,,,
57,2015,Brazil B,ABC,Boa,h,n,1.7,3.6,4.4,h,d,a,1.79,1.95,y,n,0.5397,0.2553,0.2068,0.52,0.48
58,2006,Brazil A,Vasco,Figueirense,d,n,2.25,2.75,3.25,h,a,d,,,,,0.3941,0.2774,0.3282,,
59,2006,Brazil A,Palmeiras,Fluminense,d,y,1.9,3.25,3.55,h,d,a,,,,,0.4709,0.2761,0.2525,,
60,2007,Brazil B,Avai,Santa Cruz,d,y,,,,,,,,,,,,,,,
61,2007,Brazil B,CRB,Sao Caetano,h,n,,,,,,,,,,,,,,,
62,2015,Brazil B,Botafogo RJ,ABC,a,y,1.32,4.6,8.0,a,d,h,1.72,2.0,n,y,0.1151,0.1976,0.6874,0.4636,0.5364
63,2006,Brazil A,Gremio,Fortaleza,h,n,1.765,3.3,3.925,a,d,h,,,,,0.2285,0.2683,0.5079,,
64,2006,Brazil A,Sao Paulo,Parana,d,n,1.65,3.4,5.0,h,d,a,,,,,0.5487,0.2673,0.1818,,
65,2007,Brazil B,Ponte Preta,Betim,h,y,,,,,,,,,,,,,,,
66,2007,Brazil B,Gama,Portuguesa,h,n,,,,,,,,,,,,,,,
67,2006,Brazil A,Atletico-PR,Ponte Preta,d,y,2.38,2.62,3.2,h,a,d,,,,,0.3787,0.2791,0.344,,
68,2015,Brazil B,Ceara,America MG,d,y,1.9,3.3,3.9,h,d,a,1.72,2.0,y,n,0.4826,0.2747,0.2365,0.5376,0.4624
69,2006,Brazil A,Santa Cruz,Santos,h,y,1.17,5.5,12.0,h,d,a,,,,,0.7632,0.1617,0.0744,,
70,2007,Brazil B,Portuguesa,Avai,d,y,,,,,,,,,,,,,,,
71,2007,Brazil B,Brasiliense,Bahia,h,n,,,,,,,,,,,,,,,
72,2006,Brazil A,Sao Caetano,Flamengo RJ,h,y,1.6,3.4,4.8,h,d,a,,,,,0.5543,0.2604,0.1848,,
73,2015,Brazil B,Sampaio Correa,CRB,h,y,2.38,2.735,3.25,h,a,d,1.65,2.135,y,n,0.3816,0.2823,0.3349,0.5658,0.4342
74,2006,Brazil A,Goias,Internacional,a,y,1.45,3.7,6.3,h,d,a,,,,,0.6158,0.243,0.1429,,
75,2007,Brazil B,Betim,Barueri,h,y,,,,,,,,,,,,,,,
76,2007,Brazil B,Santa Cruz,Ceara,h,n,,,,,,,,,,,,,,,
77,2006,Brazil A,Figueirense,Atletico-PR,a,y,2.25,2.8,3.2,h,a,d,,,,,0.3989,0.2836,0.3177,,
78,2006,Brazil A,Corinthians,Botafogo RJ,d,n,2.12,3.0,3.2,h,a,d,,,,,0.4225,0.2795,0.2977,,
79,2015,Brazil B,Santa Cruz,Mogi Mirim,a,n,1.3,4.725,9.0,a,d,h,1.67,2.1,n,y,0.1037,0.1953,0.6986,0.4452,0.5548
80,2007,Brazil B,Paulista,CRB,d,y,,,,,,,,,,,,,,,
81,2007,Brazil B,Marilia,Gama,h,n,,,,,,,,,,,,,,,
82,2006,Brazil A,Ponte Preta,Goias,h,n,1.51,3.625,5.495,h,d,a,,,,,0.5925,0.2471,0.1629,,
83,2006,Brazil A,Flamengo RJ,Gremio,h,n,1.45,3.75,6.495,h,d,a,,,,,0.6176,0.2413,0.1382,,
84,2015,Brazil B,Bahia,Nautico,h,n,1.58,3.7,5.25,h,d,a,1.8,1.925,n,y,0.5777,0.2481,0.1732,0.4826,0.5174
85,2007,Brazil B,Criciuma,Ituano,d,y,,,,,,,,,,,,,,,
86,2007,Brazil B,Coritiba,Ponte Preta,d,y,,,,,,,,,,,,,,,
87,2006,Brazil A,Fortaleza,Juventude,d,y,1.3,4.335,8.0,h,d,a,,,,,0.6838,0.2051,0.1129,,
88,2006,Brazil A,Internacional,Palmeiras,a,y,2.29,2.725,3.2,h,a,d,,,,,0.3924,0.2808,0.3273,,
89,2007,Brazil B,Sao Caetano,Remo,a,n,,,,,,,,,,,,,,,
90,2015,Brazil B,Bragantino,Parana,a,n,2.15,3.1,3.25,h,a,d,1.77,1.91,y,n,0.4228,0.28,0.2963,0.5198,0.4802
91,2007,Brazil B,Fortaleza,Santo Andre,d,y,,,,,,,,,,,,,,,
92,2006,Brazil A,Fluminense,Santa Cruz,a,y,1.89,3.27,3.65,a,d,h,,,,,0.248,0.2738,0.4773,,
93,2006,Brazil A,Parana,Sao Caetano,a,n,2.25,2.8,3.2,a,h,d,,,,,0.3191,0.2791,0.3991,,
94,2007,Brazil B,Criciuma,Bahia,d,n,,,,,,,,,,,,,,,
95,2015,Brazil B,Criciuma,Paysandu PA,h,n,1.595,3.66,5.1,h,d,a,1.74,2.0,n,y,0.575,0.2504,0.1772,0.4665,0.5335
96,2006,Brazil A,Cruzeiro,Sao Paulo,h,n,1.5,3.595,5.5,h,d,a,,,,,0.5919,0.2483,0.1614,,
97,2007,Brazil B,Coritiba,Barueri,a,n,,,,,,,,,,,,,,,
98,2007,Brazil B,Paulista,Gama,a,y,,,,,,,,,,,,,,,
99,2006,Brazil A,Santos,Vasco,d,y,1.95,3.2,3.375,h,d,a,,,,,0.4578,0.2781,0.265,,
100,2007,Brazil B,Fortaleza,Ituano,h,n,,,,,,,,,,,,,,,
101,2006,Brazil A,Goias,Botafogo RJ,d,y,1.75,3.34,4.0,h,d,a,,,,,0.5102,0.2695,0.2223,,
102,2015,Brazil B,Luverdense,Vitoria,h,n,1.43,4.125,7.0,h,d,a,1.73,2.0,n,y,0.6426,0.2225,0.1326,0.4648,0.5352
103,2006,Brazil A,Santos,Cruzeiro,d,y,2.2,2.815,3.2,h,a,d,,,,,0.40399999999999997,0.2789,0.3177,,
104,2007,Brazil B,Brasiliense,Ponte Preta,d,y,,,,,,,,,,,,,,,
105,2006,Brazil A,Ponte Preta,Fortaleza,h,n,2.29,2.75,3.145,a,h,d,,,,,0.3257,0.28600000000000003,0.3896,,
106,2015,Brazil B,Oeste,Atletico GO,h,y,1.85,3.2,4.105,h,d,a,1.75,1.975,n,y,0.4954,0.2847,0.2193,0.4667,0.5333
107,2007,Brazil B,Santa Cruz,Remo,h,y,,,,,,,,,,,,,,,
108,2006,Brazil A,Palmeiras,Juventude,h,y,1.8,3.25,3.8,h,d,a,,,,,0.4937,0.2732,0.2336,,
109,2006,Brazil A,Internacional,Parana,h,n,2.38,2.65,3.2,h,a,d,,,,,0.3788,0.2786,0.3395,,
110,2015,Brazil B,Boa,Macae,d,y,1.41,4.2,6.75,h,d,a,1.76,1.95,n,y,0.6487,0.2165,0.1356,0.4789,0.5211
111,2007,Brazil B,Portuguesa,CRB,h,n,,,,,,,,,,,,,,,
112,2006,Brazil A,Vasco,Sao Caetano,a,n,2.35,2.645,3.2,h,a,d,,,,,0.3786,0.2786,0.3409,,
113,2015,Brazil B,Macae,Atletico GO,a,y,1.8,3.4,4.15,h,d,a,1.8,1.91,n,y,0.5094,0.2675,0.2194,0.4852,0.5148
114,2007,Brazil B,Betim,Santo Andre,d,n,,,,,,,,,,,,,,,
115,2006,Brazil A,Atletico-PR,Sao Paulo,d,y,1.2,5.425,10.37,h,d,a,,,,,0.7471,0.1656,0.0869,,
116,2006,Brazil A,Fluminense,Corinthians,d,y,1.6,3.4,5.0,h,d,a,,,,,0.5602,0.2609,0.1768,,
117,2015,Brazil B,America MG,Parana,h,n,2.22,3.1,3.15,h,a,d,1.8,1.91,y,n,0.4136,0.2922,0.2933,0.52,0.48
118,2007,Brazil B,Sao Caetano,Avai,d,y,,,,,,,,,,,,,,,
119,2007,Brazil B,Marilia,Ceara,d,y,,,,,,,,,,,,,,,
120,2006,Brazil A,Figueirense,Flamengo RJ,a,n,1.8,3.29,3.75,h,d,a,,,,,0.4937,0.2727,0.23600000000000002,,
121,2006,Brazil A,Santa Cruz,Gremio,h,y,1.11,6.5,14.0,h,d,a,,,,,0.8048,0.1362,0.0636,,
122,2015,Brazil B,Mogi Mirim,ABC,h,y,1.5,4.0,6.0,h,d,a,1.8,1.91,y,n,0.6129,0.2283,0.1538,0.5148,0.4852
123,2007,Brazil B,Santo Andre,Coritiba,h,y,,,,,,,,,,,,,,,
124,2006,Brazil A,Gremio,Atletico-PR,a,y,2.4,2.6,3.2,a,h,d,,,,,0.3453,0.2806,0.37200000000000005,,
125,2015,Brazil B,Bahia,Boa,h,n,1.48,3.95,6.0,a,d,h,1.8,1.9,n,y,0.1532,0.2315,0.6188,0.4879,0.5121
126,2007,Brazil B,Bahia,Fortaleza,h,y,,,,,,,,,,,,,,,
127,2006,Brazil A,Corinthians,Figueirense,d,n,2.25,2.75,3.15,h,a,d,,,,,0.3943,0.285,0.3238,,
128,2006,Brazil A,Cruzeiro,Fluminense,h,n,2.125,3.0,3.225,h,a,d,,,,,0.4237,0.2795,0.2965,,
129,2015,Brazil B,Santa Cruz,Botafogo RJ,a,n,1.96,3.3,3.65,h,d,a,1.7,2.01,y,n,0.4695,0.2775,0.2508,0.5403,0.4597
130,2007,Brazil B,CRB,Marilia,d,y,,,,,,,,,,,,,,,
131,2006,Brazil A,Sao Paulo,Goias,a,n,2.4,2.625,3.15,a,h,d,,,,,0.3409,0.2857,0.373,,
132,2007,Brazil B,Avai,Paulista,a,n,,,,,,,,,,,,,,,
133,2015,Brazil B,Sampaio Correa,Bragantino,h,n,2.25,2.95,3.26,h,a,d,1.58,2.2,y,n,0.4093,0.2789,0.3115,0.5808,0.4192
134,2006,Brazil A,Botafogo RJ,Palmeiras,h,y,1.92,3.24,3.5,h,d,a,,,,,0.4667,0.2771,0.2572,,
135,2007,Brazil B,Gama,Santa Cruz,d,y,,,,,,,,,,,,,,,
136,2006,Brazil A,Flamengo RJ,Ponte Preta,h,n,2.25,2.775,3.2,h,a,d,,,,,0.3975,0.2798,0.3237,,
137,2006,Brazil A,Sao Caetano,Santa Cruz,a,n,2.29,2.75,3.2,h,a,d,,,,,0.39299999999999996,0.2808,0.3245,,
138,2015,Brazil B,CRB,Nautico,d,y,1.36,4.4,7.5,h,d,a,1.67,2.1,n,y,0.6699,0.2069,0.1232,0.4445,0.5555
139,2007,Brazil B,Ceara,Sao Caetano,d,y,,,,,,,,,,,,,,,
140,2006,Brazil A,Fortaleza,Internacional,h,n,1.25,4.62,9.5,h,d,a,,,,,0.7156,0.19399999999999998,0.0941,,
141,2015,Brazil B,Criciuma,Oeste,d,y,1.91,3.2,3.8,h,d,a,1.655,2.1,n,y,0.4776,0.2871,0.2388,0.44,0.56
142,2007,Brazil B,Ponte Preta,Criciuma,a,n,,,,,,,,,,,,,,,
143,2006,Brazil A,Parana,Santos,h,n,1.605,3.4,4.85,h,d,a,,,,,0.5529999999999999,0.2628,0.1849,,
144,2006,Brazil A,Juventude,Vasco,d,y,1.55,3.6,5.0,h,d,a,,,,,0.5777,0.2474,0.1768,,
145,2007,Brazil B,Remo,Portuguesa,h,n,,,,,,,,,,,,,,,
146,2015,Brazil B,Luverdense,Paysandu PA,h,y,1.8,3.4,4.2,h,d,a,1.83,1.865,n,y,0.5073,0.2675,0.2174,0.4932,0.5068
147,2006,Brazil A,Ponte Preta,Fluminense,d,n,1.7,3.4,4.46,h,d,a,,,,,0.5283,0.262,0.2018,,
148,2007,Brazil B,Ituano,Betim,h,y,,,,,,,,,,,,,,,
149,2006,Brazil A,Cruzeiro,Santa Cruz,h,y,1.9,3.3,3.7,a,d,h,,,,,0.2429,0.2727,0.4776,,
150,2015,Brazil B,Ceara,Vitoria,h,n,1.7,3.7,4.3,h,d,a,1.7,2.05,y,n,0.5418,0.2489,0.2145,0.5495,0.4505
151,2007,Brazil B,Barueri,Brasiliense,d,n,,,,,,,,,,,,,,,
152,2006,Brazil A,Botafogo RJ,Sao Paulo,h,n,1.4,4.0,7.25,h,d,a,,,,,0.6508,0.2275,0.1237,,
153,2015,Brazil B,ABC,Bahia,d,y,1.28,5.0,10.0,h,d,a,1.615,2.15,n,y,0.7225,0.1828,0.0925,0.4289,0.5711
154,2007,Brazil B,Fortaleza,Betim,d,y,,,,,,,,,,,,,,,
155,2006,Brazil A,Corinthians,Atletico-PR,a,y,1.75,3.4,3.87,h,d,a,,,,,0.508,0.2644,0.2297,,
156,2006,Brazil A,Flamengo RJ,Goias,a,n,1.75,3.4,4.0,h,d,a,,,,,0.5144,0.264,0.2211,,
157,2015,Brazil B,Bragantino,Ceara,h,n,1.74,3.8,4.05,h,d,a,1.55,2.3,y,n,0.5279,0.2414,0.23199999999999998,0.5966,0.4034
158,2007,Brazil B,CRB,Brasiliense,d,y,,,,,,,,,,,,,,,
159,2006,Brazil A,Santos,Internacional,d,n,1.775,3.3,4.045,h,d,a,,,,,0.5059,0.2717,0.2211,,
160,2006,Brazil A,Gremio,Juventude,a,y,2.4,2.6,3.2,h,a,d,,,,,0.3724,0.2818,0.3438,,
161,2015,Brazil B,Parana,CRB,h,n,2.3,3.0,3.2,h,a,d,1.805,1.88,y,n,0.4023,0.2846,0.3085,0.5088,0.4912
162,2007,Brazil B,Ituano,Paulista,a,y,,,,,,,,,,,,,,,
163,2006,Brazil A,Fortaleza,Palmeiras,h,n,1.45,3.75,6.0,h,d,a,,,,,0.6158,0.2365,0.1478,,
164,2015,Brazil B,Botafogo RJ,Luverdense,a,n,2.4,2.8,3.15,a,h,d,1.76,1.94,y,n,0.3246,0.29100000000000004,0.385,0.5211,0.4789
165,2007,Brazil B,Portuguesa,Ponte Preta,a,y,,,,,,,,,,,,,,,
166,2006,Brazil A,Figueirense,Sao Caetano,h,y,2.475,2.52,3.12,a,h,d,,,,,0.354,0.2866,0.3605,,
167,2006,Brazil A,Parana,Vasco,h,y,1.8,3.3,3.85,h,d,a,,,,,0.4925,0.273,0.2313,,
168,2015,Brazil B,Atletico GO,Sampaio Correa,h,n,1.5,3.9,5.9,h,d,a,1.8,1.91,n,y,0.6118,0.2322,0.1543,0.4852,0.5148
169,2007,Brazil B,Bahia,Santa Cruz,a,y,,,,,,,,,,,,,,,
170,2006,Brazil A,Fluminense,Botafogo RJ,h,y,2.1,3.05,3.2,h,a,d,,,,,0.4228,0.2817,0.2939,,
171,2015,Brazil B,Oeste,Santa Cruz,h,y,1.37,4.33,7.5,h,d,a,1.75,1.95,n,y,0.6629999999999999,0.21,0.1215,0.473,0.527
172,2007,Brazil B,Remo,Ceara,h,y,,,,,,,,,,,,,,,
173,2006,Brazil A,Santa Cruz,Corinthians,h,n,1.21,5.0,10.0,h,d,a,,,,,0.7399,0.1778,0.0909,,
174,2006,Brazil A,Vasco,Cruzeiro,h,y,2.0,3.2,3.25,h,d,a,,,,,0.4449,0.2782,0.2727,,
175,2015,Brazil B,Vitoria,America MG,h,n,2.0,3.2,3.5,h,d,a,1.8,1.92,y,n,0.4538,0.2851,0.2613,0.5187,0.4813
176,2007,Brazil B,Criciuma,Coritiba,h,n,,,,,,,,,,,,,,,
177,2006,Brazil A,Goias,Fortaleza,a,n,2.35,2.67,3.15,h,a,d,,,,,0.3798,0.2859,0.3364,,
178,2015,Brazil B,Boa,Criciuma,h,n,1.33,4.4,8.5,h,d,a,1.605,2.2,n,y,0.6864,0.2052,0.107,0.4233,0.5767
179,2007,Brazil B,Sao Caetano,Santo Andre,d,y,,,,,,,,,,,,,,,
180,2006,Brazil A,Internacional,Gremio,a,n,2.29,2.8,3.185,h,a,d,,,,,0.3937,0.2826,0.321,,
181,2006,Brazil A,Palmeiras,Parana,h,y,1.74,3.3,4.165,h,d,a,,,,,0.5112,0.2702,0.2157,,
182,2015,Brazil B,Nautico,Macae,d,y,2.5,2.55,3.2,a,h,d,1.605,2.2,y,n,0.3541,0.2848,0.3621,0.5763,0.4237
183,2007,Brazil B,Gama,Avai,h,n,,,,,,,,,,,,,,,
184,2006,Brazil A,Sao Caetano,Ponte Preta,a,y,1.805,3.3,3.88,h,d,a,,,,,0.499,0.2692,0.2321,,
185,2015,Brazil B,Paysandu PA,Mogi Mirim,d,y,1.4,4.4,6.53,a,d,h,1.83,1.9,n,y,0.1381,0.2084,0.6533,0.4933,0.5067
186,2007,Brazil B,Marilia,Barueri,h,y,,,,,,,,,,,,,,,
187,2006,Brazil A,Sao Paulo,Santos,a,n,2.25,2.8,3.175,h,a,d,,,,,0.3989,0.2834,0.3178,,
188,2006,Brazil A,Juventude,Figueirense,h,n,1.57,3.5,5.0,h,d,a,,,,,0.5674,0.2545,0.1775,,
189,2015,Brazil B,Atletico GO,CRB,h,y,1.905,3.3,3.7,h,d,a,1.85,1.85,n,y,0.4786,0.2786,0.2442,0.5,0.5
190,2010,Brazil A,Avai,Atletico-PR,h,n,1.815,3.4,4.0,h,d,a,,,,,0.5038,0.2689,0.2288,,
191,2007,Brazil B,Fortaleza,Avai,a,n,,,,,,,,,,,,,,,
192,2006,Brazil A,Atletico-PR,Flamengo RJ,h,n,2.1,3.0,3.2,h,a,d,,,,,0.4228,0.2811,0.2958,,
193,2010,Brazil A,Palmeiras,Cruzeiro,h,y,1.2,5.5,12.0,h,d,a,,,,,0.7617,0.1613,0.0754,,
194,2015,Brazil B,Oeste,Sampaio Correa,d,y,1.5,3.8,6.0,h,d,a,1.7,2.05,n,y,0.6048,0.24,0.1533,0.4533,0.5467
195,2007,Brazil B,Barueri,Bahia,h,y,,,,,,,,,,,,,,,
196,2006,Brazil A,Internacional,Botafogo RJ,a,n,2.29,2.75,3.1,h,a,d,,,,,0.392,0.2866,0.3245,,
197,2010,Brazil A,Guarani,Fluminense,h,n,1.1,7.3,17.0,h,d,a,,,,,0.8229,0.1253,0.0534,,
198,2006,Brazil A,Parana,Cruzeiro,d,y,1.8,3.3,4.0,h,d,a,,,,,0.5011,0.2725,0.2255,,
199,2015,Brazil B,Santa Cruz,Bahia,a,y,1.95,3.35,3.55,h,d,a,1.8,1.905,y,n,0.4693,0.2727,0.2559,0.5174,0.4826
200,2010,Brazil A,Corinthians,Goias,d,y,1.3,4.75,9.01,a,d,h,,,,,0.0999,0.1953,0.7070000000000001,,
201,2007,Brazil B,Betim,Ceara,h,n,,,,,,,,,,,,,,,
202,2006,Brazil A,Ponte Preta,Sao Paulo,d,y,1.2,5.5,11.0,h,d,a,,,,,0.7505,0.1624,0.081,,
203,2010,Brazil A,Botafogo RJ,Gremio,h,n,1.7,3.6,4.415,h,d,a,,,,,0.5377,0.2541,0.2059,,
204,2006,Brazil A,Vasco,Atletico-PR,h,y,1.85,3.25,3.6,h,d,a,,,,,0.4776,0.2748,0.2467,,
205,2015,Brazil B,ABC,Ceara,h,n,1.48,4.0,6.0,h,d,a,1.83,1.85,n,y,0.6222,0.2286,0.1508,0.5,0.5
206,2007,Brazil B,Coritiba,CRB,h,n,,,,,,,,,,,,,,,
207,2010,Brazil A,Flamengo RJ,Santos,d,n,2.15,3.1,3.25,h,a,d,,,,,0.4205,0.2812,0.2944,,
208,2006,Brazil A,Santa Cruz,Flamengo RJ,d,y,1.255,5.0,9.25,h,d,a,,,,,0.7173,0.1788,0.098,,
209,2010,Brazil A,Atletico-MG,Sao Paulo,h,n,2.2,2.91,3.25,h,a,d,,,,,0.4115,0.2779,0.3119,,
210,2015,Brazil B,Botafogo RJ,Criciuma,h,n,2.4,2.8,3.1,a,h,d,1.8,1.91,n,y,0.3278,0.2951,0.3778,0.4872,0.5128
211,2007,Brazil B,Santo Andre,Ituano,d,n,,,,,,,,,,,,,,,
212,2010,Brazil A,Ceara,Vasco,h,n,1.6,3.5,5.5,h,d,a,,,,,0.5755,0.2565,0.1685,,
213,2006,Brazil A,Corinthians,Fortaleza,a,n,2.175,2.95,3.2,h,a,d,,,,,0.4159,0.2801,0.3036,,
214,2010,Brazil A,Atletico GO,Vitoria,d,n,1.7,3.5,4.545,h,d,a,,,,,0.5405,0.2606,0.1984,,
215,2006,Brazil A,Figueirense,Gremio,a,y,1.45,3.625,6.0,h,d,a,,,,,0.6158,0.2459,0.1474,,
216,2015,Brazil B,Boa,Luverdense,h,n,1.4,4.25,7.25,h,d,a,1.705,2.0,n,y,0.6623,0.2141,0.1269,0.4586,0.5414
217,2007,Brazil B,Paulista,Marilia,d,y,,,,,,,,,,,,,,,
218,2010,Brazil A,Internacional,Barueri,a,n,1.705,3.75,4.275,a,d,h,,,,,0.21600000000000003,0.24600000000000002,0.5399,,
219,2006,Brazil A,Santos,Juventude,h,y,2.29,2.7,3.175,h,a,d,,,,,0.3876,0.2816,0.331,,
220,2015,Brazil B,Vitoria,Macae,a,n,2.37,2.82,3.15,a,h,d,1.7,2.035,y,n,0.3231,0.2877,0.3872,0.5467,0.4533
221,2010,Brazil A,Sao Paulo,Atletico GO,d,y,1.6,3.675,4.85,h,d,a,,,,,0.5648,0.2465,0.187,,
222,2007,Brazil B,Brasiliense,Remo,h,y,,,,,,,,,,,,,,,
223,2006,Brazil A,Goias,Palmeiras,a,y,1.725,3.35,4.25,h,d,a,,,,,0.5192,0.2673,0.2115,,
224,2010,Brazil A,Goias,Atletico-MG,h,y,1.3,4.725,9.0,h,d,a,,,,,0.7081,0.1921,0.1005,,
225,2006,Brazil A,Fluminense,Sao Caetano,d,y,2.25,2.8,3.175,h,a,d,,,,,0.3957,0.2828,0.3203,,
226,2015,Brazil B,Parana,Nautico,h,n,1.72,3.5,4.5,h,d,a,1.8,1.88,n,y,0.5346,0.2617,0.2029,0.4898,0.5102
227,2007,Brazil B,Ponte Preta,Sao Caetano,a,n,,,,,,,,,,,,,,,
228,2010,Brazil A,Santos,Avai,h,y,1.83,3.4,3.8,h,d,a,,,,,0.4991,0.2636,0.2393,,
229,2006,Brazil A,Parana,Atletico-PR,h,n,2.125,3.075,3.2,h,a,d,,,,,0.4223,0.2828,0.2942,,
230,2010,Brazil A,Barueri,Botafogo RJ,h,y,1.29,4.775,9.2,h,d,a,,,,,0.7102,0.1926,0.0991,,
