,m.res.1x2,m.res.bts,m.ss.ch.nm,m.ss.yi,m.ta,m.th,m.odds.f.1x2.f.c,m.odds.f.1x2.f.v.avg,m.odds.f.1x2.m.c,m.odds.f.1x2.m.v.avg,m.odds.f.1x2.u.c,m.odds.f.1x2.u.v.avg,m.odds.f.bts.f.c,m.odds.f.bts.f.v.avg,m.odds.f.bts.u.c,m.odds.f.bts.u.v.avg,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med
23402,h,y,Portugal A,2016,Arouca,Maritimo,h,1.9135,d,3.2265,a,4.2769,n,1.6947,y,2.0721,0.49,0.2915,0.2176
23403,a,y,Portugal A,2016,Braga,Belenenses,a,2.5381,d,2.9612,h,3.0023,n,1.7547,y,1.9974,0.313,0.317,0.368
23404,d,n,Italy A,2015,Carpi,Bologna,h,2.0408,d,3.1519,a,4.0827,n,1.6680000000000001,y,2.108,0.4621,0.3023,0.2353
23405,d,n,Portugal A,2016,Benfica,Ferreira,a,1.3088,d,4.8804,h,10.3777,n,1.5789,y,2.2874,0.0904,0.1901,0.7148
23406,d,y,Portugal A,2016,Tondela,Moreirense,h,1.8123,d,3.3019,a,4.7581,n,1.7347,y,2.0242,0.5207,0.2817,0.1985
23407,h,n,Italy A,2015,Udinese,Frosinone,a,2.115,d,3.3688,h,3.5331,y,1.7173,n,2.0367,0.265,0.2806,0.4526
23408,h,n,Portugal A,2016,Nacional,Sporting,h,1.195,d,6.2362,a,14.9162,n,1.6832,y,2.0984,0.7836,0.1536,0.0614
23409,d,n,Portugal A,2016,Boavista,Estoril,a,2.3942,d,2.9288,h,3.2588,n,1.6442,y,2.1668,0.2856,0.319,0.3941
23410,h,n,Italy A,2015,Empoli,Genoa,h,2.0069,d,3.2642,a,3.9877,n,1.7973,y,1.9327,0.4709,0.2894,0.2374
23411,h,n,Portugal A,2016,Belenenses,Benfica,h,1.1954,d,6.2731,a,14.5012,n,1.6479,y,2.1684,0.785,0.1477,0.0639
23412,d,y,Portugal A,2016,Ferreira,Nacional,h,2.2113,d,3.1038,a,3.4004,n,1.78,y,1.9612,0.4244,0.302,0.2721
23413,h,y,Italy A,2015,Palermo,Inter,h,1.3423,d,5.1927,a,8.8585,y,1.8393,n,1.8873,0.7073,0.1842,0.109
23414,h,n,Portugal A,2016,Maritimo,Boavista,h,2.3792,d,2.8712,a,3.3573,n,1.5674,y,2.3205,0.3959,0.3269,0.2757
23415,d,y,Portugal A,2016,Estoril,Guimaraes,h,1.5031,d,3.8738,a,7.0069,n,1.6142,y,2.2274,0.6249,0.2424,0.1332
23416,h,n,Italy A,2015,AC Milan,Sassuolo,a,2.5185,h,2.9127,d,3.2169,n,1.8659999999999999,y,1.8673,0.3301,0.2949,0.3765
23417,h,y,Portugal A,2016,Moreirense,Rio Ave,h,1.775,d,3.405,a,4.8008,n,1.6353,y,2.1832,0.5245,0.2763,0.1976
23418,d,n,Portugal A,2016,Braga,Chaves,a,2.2485,d,3.1273,h,3.3108,n,1.8005,y,1.9405,0.2841,0.2996,0.41700000000000004
23419,d,y,Italy A,2015,Lazio,Torino,h,2.5273,a,2.9769,d,3.1085,n,1.8327,y,1.9,0.3749,0.3052,0.32
23420,a,y,Portugal A,2016,Feirense,Setubal,h,2.0115,d,3.0015,a,4.2212,n,1.5374,y,2.3958,0.4652,0.3126,0.2208
23421,a,y,Portugal A,2016,Sporting,Tondela,a,1.4077,d,4.3819,h,7.8038,n,1.6658,y,2.1374,0.1186,0.2146,0.6643
23422,h,y,Italy A,2015,Chievo,Napoli,h,1.1869,d,6.9196,a,15.8296,n,1.6357,y,2.1693,0.8013,0.1362,0.0587
23423,a,n,Portugal A,2016,FC Porto,Arouca,a,1.2515,d,5.5373,h,11.6092,n,1.5779,y,2.2895,0.0825,0.1706,0.7490000000000001
23424,a,n,Portugal A,2016,Rio Ave,Estoril,a,2.4065,d,2.9127,h,3.2438,n,1.6695,y,2.1189,0.2892,0.3211,0.3907
23425,a,n,Italy A,2015,Sampdoria,Verona,h,2.4985,a,2.8408,d,3.3073,y,1.6487,n,2.13,0.3794,0.2867,0.3335
23426,h,y,Portugal A,2016,Chaves,Belenenses,h,2.0631,d,3.0615,a,3.9223,n,1.6837,y,2.0979,0.4565,0.3061,0.2374
23427,d,n,Portugal A,2016,Tondela,Ferreira,h,1.9623,d,3.175,a,4.1281,n,1.7042,y,2.0689,0.4792,0.295,0.2256
23428,h,y,Italy A,2015,Fiorentina,AS Roma,h,2.0881,d,3.2769,a,3.7365,y,1.7853,n,1.9513,0.4538,0.2919,0.2531
23429,h,n,Portugal A,2016,Setubal,Maritimo,h,2.2408,d,2.9581,a,3.5696,n,1.6589,y,2.14,0.4097,0.3195,0.2656
23430,d,y,Portugal A,2016,Guimaraes,Sporting,h,1.4296,d,4.3008,a,7.3965,n,1.8058,y,1.9374,0.6496,0.2164,0.124
23431,h,y,Portugal A,2016,Arouca,Braga,h,1.5296,d,3.83,a,6.6065,n,1.6505,y,2.1584,0.6116,0.2443,0.1408
23432,d,y,Italy A,2015,Napoli,Fiorentina,a,2.215,d,3.2696,h,3.4085,y,1.7647,n,1.9647,0.2767,0.2909,0.4329
23433,h,n,Portugal A,2016,Nacional,FC Porto,h,1.1104,d,8.4267,a,23.5358,n,1.4494,y,2.6235,0.8407,0.1163,0.0414
23434,a,n,Portugal A,2016,Benfica,Feirense,a,1.3088,d,4.9417,h,10.0858,n,1.5841,y,2.2741,0.0942,0.1906,0.7138
23435,a,n,Italy A,2015,Sassuolo,Lazio,h,1.7442,d,3.5523,a,5.0188,n,1.86,y,1.8693,0.5442,0.2671,0.19
23436,d,n,Portugal A,2016,Boavista,Moreirense,h,2.3288,d,2.9944,a,3.2948,n,1.6468,y,2.1663,0.4023,0.313,0.2836
23437,a,y,Portugal A,2016,Belenenses,Arouca,h,2.3246,d,3.0115,a,3.2923,n,1.7284,y,2.0353,0.4049,0.3106,0.2847
23438,d,y,Italy A,2015,Atalanta,Carpi,h,2.5827,a,2.9535,d,3.0335,n,1.702,y,2.0533,0.3637,0.3128,0.3218
23439,a,n,Portugal A,2016,FC Porto,Boavista,a,1.3477,d,4.4754,h,9.7923,n,1.4574,y,2.6,0.0951,0.2082,0.6962
