,m.res.1x2,m.res.bts,m.ss.ch.nm,m.ss.yi,m.ta,m.th,m.odds.f.1x2.f.c,m.odds.f.1x2.f.v.avg,m.odds.f.1x2.m.c,m.odds.f.1x2.m.v.avg,m.odds.f.1x2.u.c,m.odds.f.1x2.u.v.avg,m.odds.f.bts.f.c,m.odds.f.bts.f.v.avg,m.odds.f.bts.u.c,m.odds.f.bts.u.v.avg,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med
0,h,n,Brazil B,2007,Ituano,Avai,,,,,,,,,,,,,
1,a,y,Brazil B,2007,Santo Andre,Ceara,,,,,,,,,,,,,
2,h,y,Brazil B,2007,Barueri,CRB,,,,,,,,,,,,,
3,h,n,Brazil B,2007,Bahia,Gama,,,,,,,,,,,,,
4,a,y,Brazil B,2007,Fortaleza,Marilia,,,,,,,,,,,,,
5,a,y,Brazil B,2007,Betim,Paulista,,,,,,,,,,,,,
6,h,y,Brazil B,2007,Criciuma,Portuguesa,,,,,,,,,,,,,
7,a,n,Brazil B,2007,Ponte Preta,Remo,,,,,,,,,,,,,
8,a,y,Brazil B,2007,Coritiba,Santa Cruz,,,,,,,,,,,,,
9,h,n,Brazil B,2007,Brasiliense,Sao Caetano,,,,,,,,,,,,,
10,d,y,Brazil B,2007,Remo,Bahia,,,,,,,,,,,,,
11,a,n,Brazil B,2007,Gama,Barueri,,,,,,,,,,,,,
12,h,n,Brazil B,2007,Sao Caetano,Betim,,,,,,,,,,,,,
13,d,y,Brazil B,2007,Portuguesa,Brasiliense,,,,,,,,,,,,,
14,h,n,Brazil B,2007,Santa Cruz,Criciuma,,,,,,,,,,,,,
15,h,y,Brazil B,2007,Paulista,Fortaleza,,,,,,,,,,,,,
16,a,n,Brazil B,2007,CRB,Ituano,,,,,,,,,,,,,
17,d,y,Brazil B,2007,Ceara,Ponte Preta,,,,,,,,,,,,,
18,a,y,Brazil B,2007,Marilia,Coritiba,,,,,,,,,,,,,
19,h,n,Brazil B,2007,Avai,Santo Andre,,,,,,,,,,,,,
20,h,y,Brazil B,2007,CRB,Bahia,,,,,,,,,,,,,
21,h,y,Brazil B,2007,Ceara,Barueri,,,,,,,,,,,,,
22,h,y,Brazil B,2007,Marilia,Betim,,,,,,,,,,,,,
23,h,n,Brazil B,2007,Santa Cruz,Brasiliense,,,,,,,,,,,,,
24,h,n,Brazil B,2007,Portuguesa,Coritiba,,,,,,,,,,,,,
25,a,y,Brazil B,2007,Paulista,Criciuma,,,,,,,,,,,,,
26,a,n,Brazil B,2007,Sao Caetano,Fortaleza,,,,,,,,,,,,,
27,h,y,Brazil B,2007,Remo,Ituano,,,,,,,,,,,,,
28,d,n,Brazil B,2007,Avai,Ponte Preta,,,,,,,,,,,,,
29,h,n,Brazil B,2007,Gama,Santo Andre,,,,,,,,,,,,,
30,h,n,Brazil B,2007,Coritiba,Avai,,,,,,,,,,,,,
31,a,y,Brazil B,2007,Brasiliense,Ceara,,,,,,,,,,,,,
32,a,n,Brazil B,2007,Betim,Gama,,,,,,,,,,,,,
33,h,n,Brazil B,2015,Atletico GO,Bahia,h,2.167,a,3.0843,d,3.2926,y,1.6517,n,2.105,0.4179,0.27699999999999997,0.3029
34,d,n,Brazil B,2015,America MG,Botafogo RJ,h,1.8388,d,3.492,a,3.8548,y,1.6731,n,2.0638,0.5046,0.2615,0.2355
35,h,n,Brazil B,2007,Bahia,Paulista,,,,,,,,,,,,,
36,a,n,Brazil B,2015,Nautico,Bragantino,h,1.8552,d,3.432,a,3.8432,y,1.6615,n,2.0962,0.4965,0.2662,0.2378
37,h,y,Brazil B,2007,Fortaleza,Remo,,,,,,,,,,,,,
38,h,n,Brazil B,2015,Macae,Ceara,h,1.4525,d,4.0792,a,6.2696,y,1.8162,n,1.8823,0.6296,0.2243,0.1463
39,d,y,Brazil B,2007,Ituano,Sao Caetano,,,,,,,,,,,,,
40,h,n,Brazil B,2015,Mogi Mirim,Luverdense,h,1.3444,d,4.5772,a,7.8812,n,1.7736,y,1.9227,0.68,0.2007,0.1179
41,h,y,Brazil B,2007,Barueri,Portuguesa,,,,,,,,,,,,,
42,d,n,Brazil B,2015,Paysandu PA,Oeste,h,1.7312,d,3.4572,a,4.4912,n,1.7923,y,1.9108,0.527,0.2637,0.2027
43,d,y,Brazil B,2007,Ponte Preta,Santa Cruz,,,,,,,,,,,,,
44,d,y,Brazil B,2015,Parana,Sampaio Correa,h,1.7316,d,3.4816,a,4.4444,y,1.7862,n,1.9215,0.5283,0.2649,0.2074
45,h,n,Brazil B,2007,Criciuma,CRB,,,,,,,,,,,,,
46,h,y,Brazil B,2015,Vitoria,Santa Cruz,h,1.5464,d,3.8604,a,5.4879999999999995,y,1.8031,n,1.8969,0.5988,0.2351,0.1668
47,h,y,Brazil B,2007,Santo Andre,Marilia,,,,,,,,,,,,,
48,h,y,Brazil B,2007,Ituano,Brasiliense,,,,,,,,,,,,,
49,d,y,Brazil B,2007,Bahia,Coritiba,,,,,,,,,,,,,
50,a,n,Brazil B,2007,Santo Andre,Criciuma,,,,,,,,,,,,,
51,h,y,Brazil A,2006,Juventude,Corinthians,h,1.6144,d,3.5278,a,4.8211,,,,,0.5491,0.2565,0.1912
52,h,y,Brazil B,2015,CRB,Criciuma,h,1.9548,d,3.3636,a,3.5532,y,1.79,n,1.9131,0.4687,0.2724,0.2561
53,h,n,Brazil B,2007,Barueri,Fortaleza,,,,,,,,,,,,,
54,h,y,Brazil B,2007,Remo,Marilia,,,,,,,,,,,,,
55,h,y,Brazil A,2006,Botafogo RJ,Cruzeiro,h,1.6219999999999999,d,3.395,a,4.894,,,,,0.5547,0.2632,0.1809
56,d,n,Brazil B,2007,Ceara,Paulista,,,,,,,,,,,,,
57,h,n,Brazil B,2015,ABC,Boa,h,1.7067,d,3.5992,a,4.4458,y,1.7669,n,1.9485,0.5397,0.2553,0.2068
58,d,n,Brazil A,2006,Vasco,Figueirense,h,2.2554,a,2.7592,d,3.2446,,,,,0.3941,0.2774,0.3282
59,d,y,Brazil A,2006,Palmeiras,Fluminense,h,1.9180000000000001,d,3.247,a,3.495,,,,,0.4709,0.2761,0.2525
60,d,y,Brazil B,2007,Avai,Santa Cruz,,,,,,,,,,,,,
61,h,n,Brazil B,2007,CRB,Sao Caetano,,,,,,,,,,,,,
62,a,y,Brazil B,2015,Botafogo RJ,ABC,a,1.3257,d,4.6365,h,8.1013,n,1.7269,y,1.9762,0.1151,0.1976,0.6874
63,h,n,Brazil A,2006,Gremio,Fortaleza,a,1.7538,d,3.3175,h,4.0875,,,,,0.2285,0.2683,0.5079
64,d,n,Brazil A,2006,Sao Paulo,Parana,h,1.6444,d,3.3667,a,4.7567,,,,,0.5487,0.2673,0.1818
65,h,y,Brazil B,2007,Ponte Preta,Betim,,,,,,,,,,,,,
66,h,n,Brazil B,2007,Gama,Portuguesa,,,,,,,,,,,,,
67,d,y,Brazil A,2006,Atletico-PR,Ponte Preta,h,2.3733,a,2.6078,d,3.1933,,,,,0.3787,0.2791,0.344
68,d,y,Brazil B,2015,Ceara,America MG,h,1.8913,d,3.3174,a,3.8578,y,1.7046,n,2.0146,0.4826,0.2747,0.2365
69,h,y,Brazil A,2006,Santa Cruz,Santos,h,1.1727,d,5.6427,a,11.7945,,,,,0.7632,0.1617,0.0744
70,d,y,Brazil B,2007,Portuguesa,Avai,,,,,,,,,,,,,
71,h,n,Brazil B,2007,Brasiliense,Bahia,,,,,,,,,,,,,
72,h,y,Brazil A,2006,Sao Caetano,Flamengo RJ,h,1.6073,d,3.4227,a,5.1173,,,,,0.5543,0.2604,0.1848
73,h,y,Brazil B,2015,Sampaio Correa,CRB,h,2.3971,a,2.7325,d,3.2525,y,1.645,n,2.1193,0.3816,0.2823,0.3349
74,a,y,Brazil A,2006,Goias,Internacional,h,1.46,d,3.695,a,6.34,,,,,0.6158,0.243,0.1429
75,h,y,Brazil B,2007,Betim,Barueri,,,,,,,,,,,,,
76,h,n,Brazil B,2007,Santa Cruz,Ceara,,,,,,,,,,,,,
77,a,y,Brazil A,2006,Figueirense,Atletico-PR,h,2.2055,a,2.9382,d,3.1836,,,,,0.3989,0.2836,0.3177
78,d,n,Brazil A,2006,Corinthians,Botafogo RJ,h,2.1283,a,3.0092,d,3.1967,,,,,0.4225,0.2795,0.2977
79,a,n,Brazil B,2015,Santa Cruz,Mogi Mirim,a,1.3042,d,4.7358,h,9.2229,n,1.6693,y,2.0821,0.1037,0.1953,0.6986
80,d,y,Brazil B,2007,Paulista,CRB,,,,,,,,,,,,,
81,h,n,Brazil B,2007,Marilia,Gama,,,,,,,,,,,,,
82,h,n,Brazil A,2006,Ponte Preta,Goias,h,1.5217,d,3.6558,a,5.4908,,,,,0.5925,0.2471,0.1629
83,h,n,Brazil A,2006,Flamengo RJ,Gremio,h,1.455,d,3.7033,a,6.4242,,,,,0.6176,0.2413,0.1382
84,h,n,Brazil B,2015,Bahia,Nautico,h,1.5833,d,3.685,a,5.3746,n,1.7957,y,1.9079,0.5777,0.2481,0.1732
85,d,y,Brazil B,2007,Criciuma,Ituano,,,,,,,,,,,,,
86,d,y,Brazil B,2007,Coritiba,Ponte Preta,,,,,,,,,,,,,
87,d,y,Brazil A,2006,Fortaleza,Juventude,h,1.3192,d,4.4217,a,7.7,,,,,0.6838,0.2051,0.1129
88,a,y,Brazil A,2006,Internacional,Palmeiras,h,2.285,a,2.7275,d,3.1958,,,,,0.3924,0.2808,0.3273
89,a,n,Brazil B,2007,Sao Caetano,Remo,,,,,,,,,,,,,
90,a,n,Brazil B,2015,Bragantino,Parana,h,2.1638,a,3.1108,d,3.2658,y,1.7757,n,1.925,0.4228,0.28,0.2963
91,d,y,Brazil B,2007,Fortaleza,Santo Andre,,,,,,,,,,,,,
92,a,y,Brazil A,2006,Fluminense,Santa Cruz,a,1.8758,d,3.2867,h,3.6275,,,,,0.248,0.2738,0.4773
93,a,n,Brazil A,2006,Parana,Sao Caetano,a,2.2317,h,2.8275,d,3.2008,,,,,0.3191,0.2791,0.3991
94,d,n,Brazil B,2007,Criciuma,Bahia,,,,,,,,,,,,,
95,h,n,Brazil B,2015,Criciuma,Paysandu PA,h,1.5987,d,3.655,a,5.2117,n,1.755,y,1.9571,0.575,0.2504,0.1772
96,h,n,Brazil A,2006,Cruzeiro,Sao Paulo,h,1.5167,d,3.5825,a,5.6275,,,,,0.5919,0.2483,0.1614
97,a,n,Brazil B,2007,Coritiba,Barueri,,,,,,,,,,,,,
98,a,y,Brazil B,2007,Paulista,Gama,,,,,,,,,,,,,
99,d,y,Brazil A,2006,Santos,Vasco,h,1.955,d,3.2108,a,3.4208,,,,,0.4578,0.2781,0.265
100,h,n,Brazil B,2007,Fortaleza,Ituano,,,,,,,,,,,,,
101,d,y,Brazil A,2006,Goias,Botafogo RJ,h,1.7711,d,3.3267,a,4.0278,,,,,0.5102,0.2695,0.2223
102,h,n,Brazil B,2015,Luverdense,Vitoria,h,1.4221,d,4.1425,a,6.9596,n,1.7243,y,1.9993,0.6426,0.2225,0.1326
103,d,y,Brazil A,2006,Santos,Cruzeiro,h,2.2088,a,2.8475,d,3.215,,,,,0.40399999999999997,0.2789,0.3177
104,d,y,Brazil B,2007,Brasiliense,Ponte Preta,,,,,,,,,,,,,
105,h,n,Brazil A,2006,Ponte Preta,Fortaleza,a,2.309,h,2.737,d,3.154,,,,,0.3257,0.28600000000000003,0.3896
106,h,y,Brazil B,2015,Oeste,Atletico GO,h,1.8546,d,3.1729,a,4.2337,n,1.7657,y,1.9436,0.4954,0.2847,0.2193
107,h,y,Brazil B,2007,Santa Cruz,Remo,,,,,,,,,,,,,
108,h,y,Brazil A,2006,Palmeiras,Juventude,h,1.8091,d,3.2582,a,3.8809,,,,,0.4937,0.2732,0.2336
109,h,n,Brazil A,2006,Internacional,Parana,h,2.3642,a,2.6467,d,3.1917,,,,,0.3788,0.2786,0.3395
110,d,y,Brazil B,2015,Boa,Macae,h,1.4108,d,4.2368,a,6.898,n,1.775,y,1.9257,0.6487,0.2165,0.1356
111,h,n,Brazil B,2007,Portuguesa,CRB,,,,,,,,,,,,,
112,a,n,Brazil A,2006,Vasco,Sao Caetano,h,2.3492,a,2.6575,d,3.2042,,,,,0.3786,0.2786,0.3409
113,a,y,Brazil B,2015,Macae,Atletico GO,h,1.8063,d,3.4163,a,4.1042,n,1.805,y,1.8914,0.5094,0.2675,0.2194
114,d,n,Brazil B,2007,Betim,Santo Andre,,,,,,,,,,,,,
115,d,y,Brazil A,2006,Atletico-PR,Sao Paulo,h,1.2025,d,5.3267,a,10.5033,,,,,0.7471,0.1656,0.0869
116,d,y,Brazil A,2006,Fluminense,Corinthians,h,1.6233,d,3.4233,a,4.8733,,,,,0.5602,0.2609,0.1768
117,h,n,Brazil B,2015,America MG,Parana,h,2.2392,a,3.0832,d,3.1516,y,1.7764,n,1.9293,0.4136,0.2922,0.2933
118,d,y,Brazil B,2007,Sao Caetano,Avai,,,,,,,,,,,,,
119,d,y,Brazil B,2007,Marilia,Ceara,,,,,,,,,,,,,
120,a,n,Brazil A,2006,Figueirense,Flamengo RJ,h,1.8433,d,3.2544,a,3.7511,,,,,0.4937,0.2727,0.23600000000000002
121,h,y,Brazil A,2006,Santa Cruz,Gremio,h,1.1218,d,6.7709,a,13.5055,,,,,0.8048,0.1362,0.0636
122,h,y,Brazil B,2015,Mogi Mirim,ABC,h,1.4939,d,4.0152,a,5.8626,y,1.7879,n,1.9114,0.6129,0.2283,0.1538
123,h,y,Brazil B,2007,Santo Andre,Coritiba,,,,,,,,,,,,,
124,a,y,Brazil A,2006,Gremio,Atletico-PR,a,2.41,h,2.6,d,3.1829,,,,,0.3453,0.2806,0.37200000000000005
125,h,n,Brazil B,2015,Bahia,Boa,a,1.484,d,3.9612,h,6.1148,n,1.81,y,1.8936,0.1532,0.2315,0.6188
126,h,y,Brazil B,2007,Bahia,Fortaleza,,,,,,,,,,,,,
127,d,n,Brazil A,2006,Corinthians,Figueirense,h,2.2636,a,2.8255,d,3.1591,,,,,0.3943,0.285,0.3238
128,h,n,Brazil A,2006,Cruzeiro,Fluminense,h,2.1517,a,2.9683,d,3.2017,,,,,0.4237,0.2795,0.2965
129,a,n,Brazil B,2015,Santa Cruz,Botafogo RJ,h,1.9584,d,3.3044,a,3.6056,y,1.7107,n,2.005,0.4695,0.2775,0.2508
130,d,y,Brazil B,2007,CRB,Marilia,,,,,,,,,,,,,
131,a,n,Brazil A,2006,Sao Paulo,Goias,a,2.407,h,2.6460000000000004,d,3.157,,,,,0.3409,0.2857,0.373
132,a,n,Brazil B,2007,Avai,Paulista,,,,,,,,,,,,,
133,h,n,Brazil B,2015,Sampaio Correa,Bragantino,h,2.2296,a,2.9716,d,3.2828,y,1.5864,n,2.22,0.4093,0.2789,0.3115
134,h,y,Brazil A,2006,Botafogo RJ,Palmeiras,h,1.9264,d,3.2309,a,3.4991,,,,,0.4667,0.2771,0.2572
135,d,y,Brazil B,2007,Gama,Santa Cruz,,,,,,,,,,,,,
136,h,n,Brazil A,2006,Flamengo RJ,Ponte Preta,h,2.2342,a,2.82,d,3.1983,,,,,0.3975,0.2798,0.3237
137,a,n,Brazil A,2006,Sao Caetano,Santa Cruz,h,2.26,a,2.8136,d,3.1864,,,,,0.39299999999999996,0.2808,0.3245
138,d,y,Brazil B,2015,CRB,Nautico,h,1.3619999999999999,d,4.4108,a,7.5944,n,1.6793,y,2.055,0.6699,0.2069,0.1232
139,d,y,Brazil B,2007,Ceara,Sao Caetano,,,,,,,,,,,,,
140,h,n,Brazil A,2006,Fortaleza,Internacional,h,1.2558,d,4.695,a,9.54,,,,,0.7156,0.19399999999999998,0.0941
141,d,y,Brazil B,2015,Criciuma,Oeste,h,1.922,d,3.2092,a,3.872,n,1.6721,y,2.0836,0.4776,0.2871,0.2388
142,a,n,Brazil B,2007,Ponte Preta,Criciuma,,,,,,,,,,,,,
143,h,n,Brazil A,2006,Parana,Santos,h,1.621,d,3.42,a,4.873,,,,,0.5529999999999999,0.2628,0.1849
144,d,y,Brazil A,2006,Juventude,Vasco,h,1.5455,d,3.6209,a,5.2727,,,,,0.5777,0.2474,0.1768
145,h,n,Brazil B,2007,Remo,Portuguesa,,,,,,,,,,,,,
146,h,y,Brazil B,2015,Luverdense,Paysandu PA,h,1.7888,d,3.4264,a,4.1648,n,1.8307,y,1.8579,0.5073,0.2675,0.2174
147,d,n,Brazil A,2006,Ponte Preta,Fluminense,h,1.69,d,3.3673,a,4.4082,,,,,0.5283,0.262,0.2018
148,h,y,Brazil B,2007,Ituano,Betim,,,,,,,,,,,,,
149,h,y,Brazil A,2006,Cruzeiro,Santa Cruz,a,1.8744,d,3.2833,h,3.6278,,,,,0.2429,0.2727,0.4776
150,h,n,Brazil B,2015,Ceara,Vitoria,h,1.7128,d,3.7172,a,4.2264,y,1.6821,n,2.065,0.5418,0.2489,0.2145
151,d,n,Brazil B,2007,Barueri,Brasiliense,,,,,,,,,,,,,
152,h,n,Brazil A,2006,Botafogo RJ,Sao Paulo,h,1.3818,d,3.9727,a,7.2027,,,,,0.6508,0.2275,0.1237
153,d,y,Brazil B,2015,ABC,Bahia,h,1.2746,d,4.98,a,9.7908,n,1.6171,y,2.1579,0.7225,0.1828,0.0925
154,d,y,Brazil B,2007,Fortaleza,Betim,,,,,,,,,,,,,
155,a,y,Brazil A,2006,Corinthians,Atletico-PR,h,1.7589,d,3.3878,a,4.0167,,,,,0.508,0.2644,0.2297
156,a,n,Brazil A,2006,Flamengo RJ,Goias,h,1.736,d,3.377,a,4.103,,,,,0.5144,0.264,0.2211
157,h,n,Brazil B,2015,Bragantino,Ceara,h,1.7208,d,3.7884,a,4.0964,y,1.5479,n,2.3057,0.5279,0.2414,0.23199999999999998
158,d,y,Brazil B,2007,CRB,Brasiliense,,,,,,,,,,,,,
159,d,n,Brazil A,2006,Santos,Internacional,h,1.768,d,3.285,a,4.124,,,,,0.5059,0.2717,0.2211
160,a,y,Brazil A,2006,Gremio,Juventude,h,2.41,a,2.5891,d,3.1945,,,,,0.3724,0.2818,0.3438
161,h,n,Brazil B,2015,Parana,CRB,h,2.244,a,3.0028,d,3.2304,y,1.8036,n,1.89,0.4023,0.2846,0.3085
162,a,y,Brazil B,2007,Ituano,Paulista,,,,,,,,,,,,,
163,h,n,Brazil A,2006,Fortaleza,Palmeiras,h,1.4573,d,3.7764,a,6.2236,,,,,0.6158,0.2365,0.1478
164,a,n,Brazil B,2015,Botafogo RJ,Luverdense,a,2.394,h,2.8092,d,3.1556,y,1.7664,n,1.9364,0.3246,0.29100000000000004,0.385
165,a,y,Brazil B,2007,Portuguesa,Ponte Preta,,,,,,,,,,,,,
166,h,y,Brazil A,2006,Figueirense,Sao Caetano,a,2.4859999999999998,h,2.524,d,3.1489999999999996,,,,,0.354,0.2866,0.3605
167,h,y,Brazil A,2006,Parana,Vasco,h,1.8145,d,3.2682,a,3.8855,,,,,0.4925,0.273,0.2313
168,h,n,Brazil B,2015,Atletico GO,Sampaio Correa,h,1.4929,d,3.94,a,5.9288,n,1.7864,y,1.915,0.6118,0.2322,0.1543
169,a,y,Brazil B,2007,Bahia,Santa Cruz,,,,,,,,,,,,,
170,h,y,Brazil A,2006,Fluminense,Botafogo RJ,h,2.1009,a,3.0773,d,3.1764,,,,,0.4228,0.2817,0.2939
171,h,y,Brazil B,2015,Oeste,Santa Cruz,h,1.3772,d,4.3584,a,7.5596,n,1.7507,y,1.9614,0.6629999999999999,0.21,0.1215
172,h,y,Brazil B,2007,Remo,Ceara,,,,,,,,,,,,,
173,h,n,Brazil A,2006,Santa Cruz,Corinthians,h,1.2227,d,5.1727,a,9.8127,,,,,0.7399,0.1778,0.0909
174,h,y,Brazil A,2006,Vasco,Cruzeiro,h,2.0091,d,3.2145,a,3.2564,,,,,0.4449,0.2782,0.2727
175,h,n,Brazil B,2015,Vitoria,America MG,h,2.0132,d,3.2144,a,3.552,y,1.7771,n,1.9314,0.4538,0.2851,0.2613
176,h,n,Brazil B,2007,Criciuma,Coritiba,,,,,,,,,,,,,
177,a,n,Brazil A,2006,Goias,Fortaleza,h,2.3691,a,2.6655,d,3.1527,,,,,0.3798,0.2859,0.3364
178,h,n,Brazil B,2015,Boa,Criciuma,h,1.3268,d,4.484,a,8.66,n,1.6129,y,2.1729,0.6864,0.2052,0.107
179,d,y,Brazil B,2007,Sao Caetano,Santo Andre,,,,,,,,,,,,,
180,a,n,Brazil A,2006,Internacional,Gremio,h,2.2675,a,2.7775,d,3.1725,,,,,0.3937,0.2826,0.321
181,h,y,Brazil A,2006,Palmeiras,Parana,h,1.749,d,3.32,a,4.18,,,,,0.5112,0.2702,0.2157
182,d,y,Brazil B,2015,Nautico,Macae,a,2.5412,h,2.5804,d,3.2208,y,1.61,n,2.1736,0.3541,0.2848,0.3621
183,h,n,Brazil B,2007,Gama,Avai,,,,,,,,,,,,,
184,a,y,Brazil A,2006,Sao Caetano,Ponte Preta,h,1.8242,d,3.3083,a,3.8033,,,,,0.499,0.2692,0.2321
185,d,y,Brazil B,2015,Paysandu PA,Mogi Mirim,a,1.4008,d,4.4052,h,6.7088,n,1.8192,y,1.8792,0.1381,0.2084,0.6533
186,h,y,Brazil B,2007,Marilia,Barueri,,,,,,,,,,,,,
187,a,n,Brazil A,2006,Sao Paulo,Santos,h,2.2458,a,2.8192,d,3.1667,,,,,0.3989,0.2834,0.3178
188,h,n,Brazil A,2006,Juventude,Figueirense,h,1.5925,d,3.4958,a,4.9975,,,,,0.5674,0.2545,0.1775
189,h,y,Brazil B,2015,Atletico GO,CRB,h,1.9225,d,3.2871,a,3.7792,n,1.8407,y,1.8543,0.4786,0.2786,0.2442
190,h,n,Brazil A,2010,Avai,Atletico-PR,h,1.8213,d,3.3937,a,4.0079,,,,,0.5038,0.2689,0.2288
191,a,n,Brazil B,2007,Fortaleza,Avai,,,,,,,,,,,,,
192,h,n,Brazil A,2006,Atletico-PR,Flamengo RJ,h,2.1182,a,3.0409,d,3.1909,,,,,0.4228,0.2811,0.2958
193,h,y,Brazil A,2010,Palmeiras,Cruzeiro,h,1.1926,d,5.6243,a,12.0583,,,,,0.7617,0.1613,0.0754
194,d,y,Brazil B,2015,Oeste,Sampaio Correa,h,1.5076,d,3.822,a,6.062,n,1.7014,y,2.0307,0.6048,0.24,0.1533
195,h,y,Brazil B,2007,Barueri,Bahia,,,,,,,,,,,,,
196,a,n,Brazil A,2006,Internacional,Botafogo RJ,h,2.2927,a,2.7655,d,3.15,,,,,0.392,0.2866,0.3245
197,h,n,Brazil A,2010,Guarani,Fluminense,h,1.1117,d,7.2052,a,16.7252,,,,,0.8229,0.1253,0.0534
198,d,y,Brazil A,2006,Parana,Cruzeiro,h,1.8073,d,3.2855,a,3.9,,,,,0.5011,0.2725,0.2255
199,a,y,Brazil B,2015,Santa Cruz,Bahia,h,1.9432,d,3.3648,a,3.6096,y,1.8007,n,1.905,0.4693,0.2727,0.2559
200,d,y,Brazil A,2010,Corinthians,Goias,a,1.2888,d,4.7342,h,9.2033,,,,,0.0999,0.1953,0.7070000000000001
201,h,n,Brazil B,2007,Betim,Ceara,,,,,,,,,,,,,
202,d,y,Brazil A,2006,Ponte Preta,Sao Paulo,h,1.1855,d,5.4955,a,10.9809,,,,,0.7505,0.1624,0.081
203,h,n,Brazil A,2010,Botafogo RJ,Gremio,h,1.7008,d,3.5783,a,4.425,,,,,0.5377,0.2541,0.2059
204,h,y,Brazil A,2006,Vasco,Atletico-PR,h,1.8691,d,3.2436,a,3.6736,,,,,0.4776,0.2748,0.2467
205,h,n,Brazil B,2015,ABC,Ceara,h,1.4739,d,4.0169999999999995,a,6.1857,n,1.8271,y,1.8671,0.6222,0.2286,0.1508
206,h,n,Brazil B,2007,Coritiba,CRB,,,,,,,,,,,,,
207,d,n,Brazil A,2010,Flamengo RJ,Santos,h,2.1591,a,3.1039,d,3.2204,,,,,0.4205,0.2812,0.2944
208,d,y,Brazil A,2006,Santa Cruz,Flamengo RJ,h,1.254,d,4.999,a,8.908,,,,,0.7173,0.1788,0.098
209,h,n,Brazil A,2010,Atletico-MG,Sao Paulo,h,2.2358,a,2.9192,d,3.2717,,,,,0.4115,0.2779,0.3119
210,h,n,Brazil B,2015,Botafogo RJ,Criciuma,a,2.4276,h,2.7916,d,3.1048,n,1.8164,y,1.8893,0.3278,0.2951,0.3778
211,d,n,Brazil B,2007,Santo Andre,Ituano,,,,,,,,,,,,,
212,h,n,Brazil A,2010,Ceara,Vasco,h,1.5904,d,3.5558,a,5.4208,,,,,0.5755,0.2565,0.1685
213,a,n,Brazil A,2006,Corinthians,Fortaleza,h,2.2075,a,2.885,d,3.1775,,,,,0.4159,0.2801,0.3036
214,d,n,Brazil A,2010,Atletico GO,Vitoria,h,1.6875,d,3.4983,a,4.6208,,,,,0.5405,0.2606,0.1984
215,a,y,Brazil A,2006,Figueirense,Gremio,h,1.4592,d,3.6667,a,6.3367,,,,,0.6158,0.2459,0.1474
216,h,n,Brazil B,2015,Boa,Luverdense,h,1.3872,d,4.3168,a,7.38,n,1.7071,y,2.0307,0.6623,0.2141,0.1269
217,d,y,Brazil B,2007,Paulista,Marilia,,,,,,,,,,,,,
218,a,n,Brazil A,2010,Internacional,Barueri,a,1.6988,d,3.6921,h,4.2462,,,,,0.21600000000000003,0.24600000000000002,0.5399
219,h,y,Brazil A,2006,Santos,Juventude,h,2.359,a,2.653,d,3.168,,,,,0.3876,0.2816,0.331
220,a,n,Brazil B,2015,Vitoria,Macae,a,2.3704,h,2.8196,d,3.1776,y,1.6957,n,2.0336,0.3231,0.2877,0.3872
221,d,y,Brazil A,2010,Sao Paulo,Atletico GO,h,1.6096,d,3.6825,a,4.9558,,,,,0.5648,0.2465,0.187
222,h,y,Brazil B,2007,Brasiliense,Remo,,,,,,,,,,,,,
223,a,y,Brazil A,2006,Goias,Palmeiras,h,1.7275,d,3.3425,a,4.2175,,,,,0.5192,0.2673,0.2115
224,h,y,Brazil A,2010,Goias,Atletico-MG,h,1.2896,d,4.7367,a,9.2433,,,,,0.7081,0.1921,0.1005
225,d,y,Brazil A,2006,Fluminense,Sao Caetano,h,2.2533,a,2.7958,d,3.1667,,,,,0.3957,0.2828,0.3203
226,h,n,Brazil B,2015,Parana,Nautico,h,1.7224,d,3.4996,a,4.5104,n,1.815,y,1.8807,0.5346,0.2617,0.2029
227,a,n,Brazil B,2007,Ponte Preta,Sao Caetano,,,,,,,,,,,,,
228,h,y,Brazil A,2010,Santos,Avai,h,1.8371,d,3.4642,a,3.8208,,,,,0.4991,0.2636,0.2393
229,h,n,Brazil A,2006,Parana,Atletico-PR,h,2.112,a,3.08,d,3.185,,,,,0.4223,0.2828,0.2942
230,h,y,Brazil A,2010,Barueri,Botafogo RJ,h,1.2833,d,4.7967,a,9.5654,,,,,0.7102,0.1926,0.0991
231,h,y,Brazil B,2015,Paysandu PA,America MG,h,1.6854,d,3.5575,a,4.6612,y,1.8393,n,1.8643,0.5452,0.2565,0.1982
232,a,y,Brazil B,2007,Criciuma,Gama,,,,,,,,,,,,,
233,a,n,Brazil A,2006,Sao Paulo,Figueirense,a,2.478,h,2.537,d,3.159,,,,,0.3571,0.2839,0.3571
234,d,y,Brazil A,2010,Atletico-PR,Ceara,h,2.1625,a,3.1579,d,3.1854,,,,,0.4205,0.28600000000000003,0.2905
235,h,y,Brazil B,2015,Mogi Mirim,Bragantino,h,1.2433,d,5.3362,a,10.4246,n,1.5943,y,2.2071,0.7381,0.1711,0.0881
236,a,y,Brazil A,2006,Cruzeiro,Goias,h,1.729,d,3.385,a,4.213,,,,,0.5263,0.2636,0.2105
